country3,country2,country,region,subregion,place_name,station_name,type,stn_key,status,icao,national_id,wmo,wban,ghcn,special,lat,lon,elev,tz
ABW,AW,Aruba,-,-,Old Norwood,Old Norwood / John A. Osborne AP,,0-20000-0-78850,-,,,78850,,,,16.79111111,-62.19333333,166.7,America/Montserrat
ABW,AW,Aruba,SA,-,Saba|Upper Hell's Gate,Saba / Juancho E. Yrausquin AP,,0-20000-0-78871,-,,,78871,,,,17.64611111,-63.22083333,42.1,America/Kralendijk
AFG,AF,Afghanistan,BAL,-,Kyzylabad|Mazar-I-Sharif|Qizil?b?d,Kyzylabad,,0-20000-0-40911,-,OAMS,,40911,,,,36.7,67.2,392.3,Asia/Kabul
AFG,AF,Afghanistan,BAL,-,Pushti-Bag|Mazari Sharif|Dehd?d?,Camp Spann,,AFaaKQSP,-,KQSP,,,,,,36.6504,66.996,408.0,Asia/Kabul
AFG,AF,Afghanistan,BAL,-,Qala-i-Gul Mohd|Mazari Sharif|Qizil?b?d,Camp Marmal,,AFaaKQML,-,KQML,,,,,,36.703,67.228,391.0,Asia/Kabul
AFG,AF,Afghanistan,BAL,-,Shor-Tipa|Shor Tepe,Shor-Tipa,,AFs40910,-,,,40910,,,,37.333,66.85,274.0,Asia/Kabul
AFG,AF,Afghanistan,BAM,-,Dekhi-Khazara|Bamiyan|Deh-e Haz?rah,Dekhi-Khazara,,AFaaKQC6,-,KQC6,,,,,,34.77,67.8,2556.0,Asia/Kabul
AFG,AF,Afghanistan,BAM,-,Gorvana|Sar ?sy?b,Gorvana,,0-20000-0-40945,-,OABN,,40945,,,,34.81666667,67.81666667,2573.0,Asia/Kabul
AFG,AF,Afghanistan,BAM,-,Kala-Nau|Pan Jao|Dahan-e M?r,Kala-Nau,,AFaaOAPJ,-,OAPJ,,40946,,,,34.3980556,67.0219444,2813.0,Asia/Kabul
AFG,AF,Afghanistan,BAM,-,Tadzhik|Bamiyan PRT|T?jik,Tadzhik,,AFaaKQKP,-,KQKP,,,,,,34.8,67.8,2550.0,Asia/Kabul
AFG,AF,Afghanistan,BDG,-,Bagak|Qal-E-Naw|Qala i Naw,Bagak,,,-,KQQN,,,,,,34.983,63.118,897.0,Asia/Kabul
AFG,AF,Afghanistan,BDG,-,Ch?kar?n|Qala-I-Naw|Qala i Naw,Chakaran,,0-20000-0-40937,-,OAQN,,40937,,,,35,63.11666667,904.7,Asia/Kabul
AFG,AF,Afghanistan,BDG,-,Kabuli Farari,Kabuli Farari,,0-20000-0-40923,-,,,40923,,,,35.58333333,63.31666667,475.0,Asia/Kabul
AFG,AF,Afghanistan,BDG,-,Towraghondt|Towraghondi|T?ragh?n??,Towraghondt,,0-20000-0-40921,-,,,40921,,,,35.23333333,62.28333333,684.0,Asia/Kabul
AFG,AF,Afghanistan,BDG,-,Zaysalekh|Qades|Q?dis,Zaysalekh,,AFaaOAQD,-,OAQD,,40939,,,,34.8,63.4166667,1284.0,Asia/Kabul
AFG,AF,Afghanistan,BDS,-,B?y M?las?|Feyzabad|B?? M?las?,Bay Malasi,,AFaaEQBF,-,EQBF,,,,,,37.1216,70.5183,1171.0,Asia/Kabul
AFG,AF,Afghanistan,BDS,-,Feyzabad|K?r?,Feyzabad,,0-20000-0-40904,-,OAFZ,,40904,,,,37.11666667,70.51666667,1171.1,Asia/Kabul
AFG,AF,Afghanistan,BDS,-,G?win Darah|Iskachem|G?wen Darah,Eshkashem,,0-20000-0-40918,-,OAEM,,40918,,TI000038957,,36.7,71.56666667,2620.0,Asia/Kabul
AFG,AF,Afghanistan,BDS,-,Keshm|Bal?ch,Keshm,,AFaaOAEK,-,OAEK,,40917,,,,36.85,70.0833333,908.0,Asia/Kabul
AFG,AF,Afghanistan,BDS,-,Kevron|Darwaz|N?say,Kevron,,AFaaOADZ,-,OADZ,,40900,,,,38.4616667,70.8819444,1533.0,Asia/Kabul
AFG,AF,Afghanistan,BDS,-,Kron Monajn|L?jawardsh?y,Kron Monajn AP,,AFaaOAQM,-,OAQM,,,,,,36.1666667,70.7166667,3836.0,Asia/Kabul
AFG,AF,Afghanistan,BDS,-,Namaz-i-Pas|Khwahan|Sang ?b,Namaz-i-Pas,,AFaaOAHN,-,OAHN,,40901,,,,37.8833333,70.2,970.0,Asia/Kabul
AFG,AF,Afghanistan,BDS,-,Razer|Shahr-e Monj?n,Razer AP,,AFaaOARZ,-,OARZ,,,,,,36.02270126,70.76989746,2561.0,Asia/Kabul
AFG,AF,Afghanistan,BDS,-,Shighnan|Sheghnan|Sar Chashmah,Shighnan,,0-20000-0-40905,-,OASN,,40905,,,,37.56666667,71.5,2042.0,Asia/Kabul
AFG,AF,Afghanistan,BDS,-,Ur?sak|Fayzabad,Ur?sak,,,-,EQBF,,99881,,,,37.117,70.567,1200,Asia/Kabul
AFG,AF,Afghanistan,BDS,-,Yawan|Now?b?d,Yawan AP,,AFaaOAYW,-,OAYW,,,,,,37.56169891,70.4417038,1706.0,Asia/Kabul
